,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Laas,88,IT,1673850126,92,46.6166,10.7002,28.02,1.1
1,Kavieng,70,PG,1673850128,76,-2.5744,150.7967,82.35,5.73
2,Avarua,20,CK,1673850128,88,-21.2078,-159.775,73.45,2.3
3,Loreto,20,MX,1673850130,37,22.2667,-101.9667,49.3,6.2
4,Khatanga,52,RU,1673850131,99,71.9667,102.5,-52.08,4.61
5,Suntar,87,RU,1673850131,96,62.1444,117.6319,-54.02,0.98
6,Alofi,80,NU,1673850132,78,-19.0595,-169.9187,78.69,3.44
7,Taltal,26,CL,1673850021,81,-25.4,-70.4833,65.14,1.16
8,Muisne,100,EC,1673850133,84,0.6,-80.0333,75.72,7.74
9,Porto Nacional,36,BR,1673850134,91,-10.7081,-48.4172,73.4,0.89
10,Nishihara,75,JP,1673850135,72,26.1842,127.7558,60.08,24.16
11,Ancud,71,CL,1673850135,88,-41.8697,-73.8203,47.91,4.9
12,Guerrero Negro,98,MX,1673850136,78,27.9769,-114.0611,63.28,9.69
13,Kununurra,100,AU,1673850138,89,-15.7667,128.7333,78.78,14.97
14,Halifax,100,CA,1673850138,96,44.6453,-63.5724,38.21,11.5
15,Victor Harbor,48,AU,1673850139,67,-35.5667,138.6167,99.68,9.22
16,Punta Arenas,0,CL,1673850140,71,-53.15,-70.9167,50.11,18.41
17,Bengkulu,49,ID,1673850141,66,-3.8004,102.2655,83.41,7.99
18,Cidreira,100,BR,1673850141,86,-30.1811,-50.2056,73.56,9.44
19,Ushuaia,75,AR,1673850142,87,-54.8,-68.3,47.86,18.41
20,Saint-Philippe,68,RE,1673850143,80,-21.3585,55.7679,87.39,13.85
21,Rincon,0,US,1673850143,75,32.296,-81.2354,42.85,0.0
22,Mataura,42,NZ,1673850144,43,-46.1927,168.8643,75.09,4.54
23,Katsina,99,NG,1673850144,38,12.9894,7.6006,55.29,6.91
24,Qaanaaq,25,GL,1673850146,56,77.484,-69.3632,-8.12,6.31
25,Bulanash,97,RU,1673850146,70,57.2783,61.9965,16.63,12.64
26,Bluff,59,NZ,1673850148,70,-46.6,168.3333,66.04,7.07
27,Rikitea,7,PF,1673850148,72,-23.1203,-134.9692,77.65,13.33
28,Busselton,0,AU,1673850149,41,-33.65,115.3333,71.38,18.77
29,Thompson,100,CA,1673850149,78,55.7435,-97.8558,5.16,3.44
30,Kumul,96,CN,1673850150,32,42.8,93.45,16.99,2.01
31,Yulara,2,AU,1673850150,15,-25.2406,130.9889,99.97,13.96
32,Dubbo,40,AU,1673850151,27,-32.25,148.6167,93.33,11.5
33,Jamestown,0,US,1673849895,75,42.097,-79.2353,19.18,4.0
34,Provideniya,100,RU,1673850152,83,64.3833,-173.3,1.96,15.86
35,Nariño,73,CO,1673850152,97,5.6089,-75.1766,57.24,1.97
36,Mezen',100,RU,1673850153,93,65.8522,44.24,29.68,16.15
37,Hambantota,80,LK,1673850153,64,6.1241,81.1185,84.54,10.38
38,Todos Santos,18,MX,1673850154,85,23.45,-110.2167,61.45,3.85
39,Kapaa,100,US,1673850154,79,22.0752,-159.319,75.52,5.75
40,Saint-Pierre,38,RE,1673850155,48,-21.3393,55.4781,87.48,5.75
41,Saldanha,4,ZA,1673850155,76,-33.0117,17.9442,71.65,6.15
42,La Grande,100,US,1673850155,80,45.3246,-118.0877,38.23,5.01
43,Rørvik,75,NO,1673850156,93,64.8621,11.2373,32.11,4.61
44,Bajil,2,YE,1673850156,67,15.0584,43.2851,77.31,3.53
45,Butaritari,92,KI,1673850157,79,3.0707,172.7902,80.87,11.34
46,Lompoc,100,US,1673850157,92,34.6391,-120.4579,51.6,26.46
47,Sitka,100,US,1673850158,87,57.0531,-135.33,42.69,3.44
48,Mar del Plata,40,AR,1673849993,91,-38.0023,-57.5575,69.1,4.61
49,Port Elizabeth,75,ZA,1673850158,87,-33.918,25.5701,74.32,10.36
50,Berlevåg,0,NO,1673850159,74,70.8578,29.0864,30.2,16.11
51,Fukuechō,75,JP,1673850159,56,32.6881,128.8419,43.16,14.97
52,Cape Town,0,ZA,1673850159,67,-33.9258,18.4232,77.11,10.36
53,Edremit,40,TR,1673850160,100,39.5961,27.0244,35.35,1.14
54,Cherskiy,46,RU,1673850160,99,68.75,161.3,-41.55,5.79
55,Atar,4,MR,1673850161,20,20.5169,-13.0499,64.29,8.48
56,Castro,96,BR,1673850161,97,-24.7911,-50.0119,63.03,0.76
57,Port Alfred,99,ZA,1673850161,94,-33.5906,26.891,70.18,5.01
58,Aksarka,92,RU,1673850162,100,66.5606,67.7975,1.27,2.37
59,Yamoussoukro,5,CI,1673850162,93,6.8206,-5.2767,64.29,0.0
60,São Filipe,90,CV,1673850162,69,14.8961,-24.4956,74.68,3.98
61,San Fernando del Valle de Catamarca,60,AR,1673850163,51,-28.4696,-65.7852,80.06,15.12
62,Carnarvon,0,AU,1673850163,58,-24.8667,113.6333,80.67,22.59
63,Digras,2,IN,1673850164,38,20.1167,77.7167,78.03,5.99
64,East London,100,ZA,1673850164,94,-33.0153,27.9116,72.54,4.61
65,Sangmélima,59,CM,1673850165,97,2.9333,11.9833,66.42,2.33
66,Kaitangata,23,NZ,1673850165,60,-46.2817,169.8464,69.69,6.62
67,Newport Beach,100,US,1673850166,94,33.6189,-117.9289,53.87,8.05
68,New Norfolk,0,AU,1673850166,36,-42.7826,147.0587,70.92,3.0
69,Manzhouli,69,CN,1673850166,87,49.6,117.4333,0.3,6.49
70,Longyearbyen,75,SJ,1673850167,68,78.2186,15.6401,19.24,26.46
71,George Town,20,MY,1673850167,70,5.4112,100.3354,91.33,10.36
72,Hithadhoo,96,MV,1673850167,67,-0.6,73.0833,79.9,7.63
73,Lucapa,100,AO,1673850168,92,-8.4192,20.7447,67.37,2.71
74,Albany,8,US,1673850168,81,42.6001,-73.9662,20.23,5.19
75,Flin Flon,90,CA,1673850169,100,54.7682,-101.865,-2.88,2.89
76,Nautla,0,MX,1673850169,80,20.2167,-96.7833,64.72,10.71
77,Woodward,0,US,1673850169,35,36.4337,-99.3904,60.96,21.85
78,Sassandra,9,CI,1673850170,92,4.95,-6.0833,73.99,1.97
79,Vardø,100,NO,1673850170,86,70.3705,31.1107,33.78,17.27
80,Cabcaben,95,PH,1673850171,69,14.454,120.5914,86.02,10.33
81,Yabrūd,78,SY,1673850171,82,33.9674,36.6574,37.24,7.31
82,Ust'-Uda,100,RU,1673850171,82,54.1742,103.0304,10.72,13.82
83,Klaksvík,100,FO,1673850172,86,62.2266,-6.589,32.92,30.13
